Main,Sub,SubSub,CuisineLink,Depth,MentionedFoods
African cuisine,Central African cuisine,,Angolan_cuisine,1,"['Pork', 'Milk', 'Shrimp and prawn', 'Rice', 'Fish', 'Meat', 'Ice cream', 'Corn', 'Spinach', 'Pudding', 'Seafood', 'Banana', 'Fruits', 'Bread', 'Stew', 'Cake']"
African cuisine,Central African cuisine,,Cameroonian_cuisine,1,"['Pork', 'Fish', 'Meat', 'Kebab', 'Corn', 'Spinach', 'Beef', 'Ham', 'Soup', 'Banana', 'Stew', 'Cake', 'Orange']"
African cuisine,Central African cuisine,,Chadian_cuisine,1,"['Pork', 'Milk', 'Pineapple', 'Rice', 'Butter', 'Fish', 'Grains', 'Breakfast cereal', 'Meat', 'Beef', 'Pancake', 'Banana', 'Fruits', 'Cereal', 'Mango', 'Bread', 'Goat milk', 'Stew', 'Carrot']"
African cuisine,Central African cuisine,,Congolese_cuisine,1,"['Pork', 'Rice', 'Butter', 'Fried rice', 'Fish', 'Meat', 'Kebab', 'Corn', 'Beef', 'Soup', 'Pudding', 'Banana', 'Fruits', 'Bread', 'Stew']"
African cuisine,Central African cuisine,,Centrafrican_cuisine,1,"['Milk', 'Sandwiches', 'Pineapple', 'Rice', 'Butter', 'Fish', 'Meat', 'Spinach', 'Beef', 'Ham', 'Soup', 'Banana', 'Bread', 'Stew']"
African cuisine,Central African cuisine,,Cuisine_of_Equatorial_Guinea,1,"['Rice', 'Omelette', 'Fish', 'Corn', 'Soup', 'Banana', 'Fruits', 'Mango', 'Chocolate', 'Stew']"
African cuisine,Central African cuisine,,Gabonese_cuisine,1,"['Pineapple', 'Avocado', 'Rice', 'Butter', 'Fish', 'Meat', 'Corn', 'Seafood', 'Banana', 'Fruits', 'Mango', 'Bread', 'Stew']"
African cuisine,Central African cuisine,,Cuisine_of_São_Tomé_and_Príncipe,1,"['Pork', 'Shrimp and prawn', 'Pineapple', 'Avocado', 'Rice', 'Omelette', 'Fish', 'Grains', 'Meat', 'Corn', 'Spinach', 'Poultry', 'Pudding', 'Seafood', 'Banana', 'French fries', 'Mango', 'Bread', 'Chocolate', 'Stew']"
African cuisine,East African cuisine,,Burundian_cuisine,1,"['Sausage', 'Fish', 'Meat', 'Cabbage', 'Corn', 'Soup', 'Banana', 'Fruits', 'Cereal', 'Curry']"
African cuisine,East African cuisine,,Comorian_cuisine,1,"['Pork', 'Milk', 'Rice', 'Fish', 'Meat', 'Spinach', 'Beef', 'Seafood', 'Banana', 'Mango', 'Vanilla', 'Cake']"
African cuisine,East African cuisine,,Djiboutian_cuisine,1,"['Milk', 'Steak', 'Rice', 'Fish', 'Meat', 'Corn', 'Beef', 'Pancake', 'Soup', 'Banana', 'Fruits', 'Mango', 'Bread', 'Pasta', 'Stew']"
African cuisine,East African cuisine,,Eritrean_cuisine,1,"['Milk', 'Butter', 'Fish', 'Pizza', 'Meat', 'Corn', 'Spinach', 'Beef', 'Pancake', 'Yogurt', 'Seafood', 'Bolognese sauce', 'Flatbread', 'Bread', 'Lasagna', 'Pasta', 'Stew', 'Spaghetti', 'Curry']"
African cuisine,East African cuisine,,Ethiopian_cuisine,1,"['Pork', 'Milk', 'Cheese', 'Butter', 'Eggs', 'Fish', 'Grains', 'Meat', 'Cabbage', 'Corn', 'Beef', 'Pancake', 'Yogurt', 'Banana', 'Feta', 'Flatbread', 'Cereal', 'Bread', 'Pasta', 'Pretzel', 'Stew', 'Popcorn', 'Carrot', 'Orange']"
African cuisine,East African cuisine,,Ethiopian_Jewish_cuisine,2,"['Pork', 'Milk', 'Butter', 'Eggs', 'Fish', 'Meat', 'Flatbread', 'Bread', 'Stew', 'Curry']"
African cuisine,East African cuisine,,Kenyan_cuisine,1,"['Rice', 'Fish', 'Grains', 'Meat', 'Spinach', 'Beef', 'Seafood', 'Flatbread', 'Bread', 'Stew']"
African cuisine,East African cuisine,,Maasai_cuisine,1,"['Milk', 'Rice', 'Butter', 'Meat', 'Cabbage', 'Fruits']"
