Food,Depth
Asparagus,1
Cookie,1
Ginger snap,2
Hallongrotta,2
Afghan biscuits,2
Apple,2
Alfajor,2
Almond biscuit,2
Chocolate chip cookie,2
Lebkuchen,2
Aachener Printen,3
Cornish fairing,3
Speculaas,2
Springerle,2
Kruidnoten,3
Acıbadem kurabiyesi,2
Sesame snaps,1
Cracker,1
Hardtack,2
Abernethy biscuit,3
Bok choy,1
Bread,1
bagel,2
Cornbread,2
Garlic bread,2
Banana bread,2
Butter,2
Bialy,2
Croissant,2
Baguette,2
Pretzel,2
Toast,2
Flatbread,2
Arepa,3
Pupusa,3
Roti Canai,3
Burrito,1
Crunchwrap Supreme,2
Cabbage,1
Cabbage roll,2
Sauerkraut,2
Cake,1
Banana cake,2
Cheesecake,2
Chocolate cake,2
Carrot cake,2
Strawberry cake,2
Ice-cream cake,2
Vanilla cake,2
Red velvet cake,2
Cupcake,2
Fudge cake,2
Birthday cake,2
Cake pop,2
List of cakes,2
Charcuterie,1
Chocolate,1
White chocolate,2
Dark chocolate,2
Milk chocolate,2
Ruby chocolate,2
Pancake,2
Poundcake,2
Chopped liver,1
Cheese,1
Gruyère cheese,2
Mozzarella,2
Brie,2
Feta,2
Blue cheese,2
Parmesan,2
Parmigiano Reggiano,2
Pizza cheese,2
Cheddar cheese,2
Processed cheese,2
Tasty cheese,2
Cheese stick,2
Cheesestrings,2
Carrot,1
Candied carrots,2
Congee,1
Curry,1
Butter chicken,2
Duck,1
Peking duck,2
Donuts,1
Jam,2
Sprinkles,2
Donut holes,2
Chocolate,2
Krispy Kreme,2
Tim Hortons,2
McDonald's,2
Dumplings,1
Fun guo,2
Har gow,2
Momo,2
Pierogi,2
Wonton,2
Fruits,1
Apricot,2
Banana,2
Cantaloupe,2
Durian,2
Date fruit,2
Dragonfruit,2
Orange,2
Cherry,2
Kiwifruit,2
Watermelon,2
Avocado,2
Peach,2
Pear,2
Persimmon,2
Pineapple,2
Mango,2
Strawberry,2
Blueberry,2
Raspberry,2
Blackberry,2
Cranberry,2
French fries,1
Poutine,2
Gravy,2
Grains,1
Cereal,2
Breakfast cereal,3
Corn,2
Popcorn,3
Rice,2
Biryani,3
Fried rice,3
Ice cream,1
Vanilla,2
Cookies and cream,2
Mint chocolate,2
Rocky road,2
Boysenberry,2
Biscuit Tortoni,2
Blue moon,2
Queso ice cream,2
Hokey pokey,2
Moose Tracks,2
Mayonnaise,2
Tiger tail ice cream,2
Strawberry ice cream,2
Superman,2
Spumoni,2
Pistachio ice cream,2
Moon mist,2
Neapolitan ice cream,2
Kebab,1
Mashed potatoes,1
Mooncake,1
Meat,1
Beef,2
Wagyu,3
Steak,3
Lomo Saltado,3
Meatball,2
Pork,2
Bacon,3
Ham,3
Poultry,2
Buffalo wing,3
Chicken balls,3
Chicken nuggets,3
Chicken steak,3
Chicken feet,3
Chicken parmesan,3
Roast chicken,3
Ribs,2
Sausage,2
Currywurst,3
Seafood,2
Fish,3
Salmon,4
Shrimp and prawn,3
Shark meat,3
Eggs,1
Scrambled egg,2
Fried egg,2
Omelette,2
Boiled egg,2
Tea egg,2
Century egg,2
Iron egg,2
Smoked egg,2
Soy egg,2
Chinese red eggs,2
Poached egg,2
Milk,1
Almond milk,2
Soy milk,2
Cow milk,2
Goat milk,2
Onion rings,1
Pasta,1
Lasagna,2
Linguini,2
Ravioli,2
Carbonara,2
Bolognese sauce,2
Spaghetti,2
Spaghetti and meatballs,3
Mac and Cheese,2
Pancit canton,2
Fettuccine,2
Pudding,1
Chocolate pudding,2
Pie,1
Shepherds pie,2
Apple pie,2
Cherry pie,2
Cream pie,2
Pumpkin pie,2
Pot pie,2
Key lime pie,2
Peach pie,2
Blueberry pie,2
Ramen,1
Pizza,1
Pepperoni,2
Hawaiian pizza,2
Pizza Margherita,2
List of rolled foods,1
Croquette,2
Egg roll,2
Steak roll,2
Spring roll,2
Lumpia,2
Burrito,2
Sandwiches,1
BLT,2
Vegetable sandwich,2
Grilled Cheese,2
Panini,3
Hamburgers,2
Cheeseburgers,3
Bacon cheeseburger,4
Whopper,4
Chicken burger,3
Hot dog,2
Chili dog,2
Peanut butter and jam sandwich,2
Submarine sandwich,2
Shaved ice,1
Soup,1
Chicken soup,2
Chowder,2
Clam Chowder,3
Corn chowder,3
French onion soup,2
Sinigang,2
Minestrone,2
Tomato soup,2
Watercress soup,2
Spinach,1
Creamed spinach,2
Sushi,1
California roll,2
Stew,1
Taco,1
Tamale,1
Taquitos,1
Tortilla chips,1
Quesadillas,1
Turnover,1
Jamaican patty,2
Waffle,1
Pancake,1
Nacho,1
Yogurt,1
Parfait,2
